Periodo,total_students,promoted,reproved,dropout,p_promoted,p_reproved,p_dropout
2009-2010 Fin,3974256,3644894,156935,172427,91.71261237323414,3.948789408633968,4.338598218131897
2010-2011 Fin,3958010,3672388,99325,186297,92.78369685776438,2.509468141818742,4.706835000416876
2011-2012 Fin,4096332,3792749,73963,229620,92.58890636794088,1.8055909530770453,5.6055026789820745
2012-2013 Fin,4244068,3966311,56369,221388,93.45540646379841,1.3281832430583111,5.2164102931432765
2013-2014 Fin,4212102,3990913,57155,164034,94.74872640786002,1.356923455319933,3.8943501368200484
2014-2015 Fin,4255733,4064145,62579,129009,95.4981198303559,1.470463490073273,3.0314166795708286
2015-2016 Fin,4362412,4176005,65433,120974,95.72697397678165,1.4999271045467508,2.7730989186715975
2016-2017 Fin,4377543,4182291,72317,122935,95.5396897300609,1.6519997633375618,2.808310506601534
2017-2018 Fin,4357259,4184152,73072,100035,96.02715835804115,1.6770175929408833,2.295824049017972
2018-2019 Fin,4386324,4212287,83372,90665,96.03228124506991,1.9007259837622574,2.0669927711678393
2019-2020 Fin,4346820,4255966,15559,75295,97.90987434492342,0.3579398272760317,1.732185827800553
2020-2021 Fin,4266225,4160622,30037,75566,97.52467345252536,0.7040650692356826,1.7712614782389582
