,provincia,poblacion,total,nuevas,lat,lng,created_at
0,Azuay,881394,29985,32,-2.897414,-79.004481,01/01/2022
1,Bolívar,209933,7701,7,-1.605556,-79.003056,01/01/2022
2,Carchi,186869,10096,1,0.81218,-77.71633,01/01/2022
3,Cañar,281396,7108,78,-2.733333,-78.833333,01/01/2022
4,Chimborazo,524004,9755,51,-1.674347,-78.648294,01/01/2022
5,Cotopaxi,488716,12927,39,-0.933333,-78.616667,01/01/2022
6,El Oro,715751,26048,226,-3.266667,-79.966667,01/01/2022
7,Esmeraldas,591083,10392,16,1.05,-79.2,01/01/2022
8,Galápagos,33042,1554,3,-0.7999999999999999,-89.4,01/01/2022
9,Guayas,4387434,79303,805,-2.183333,-79.883333,01/01/2022
10,Imbabura,476257,18241,29,0.362678,-78.130667,01/01/2022
11,Loja,521154,19084,76,-3.983333,-79.2,01/01/2022
12,Los Ríos,921763,13859,54,-1.8,-79.533333,01/01/2022
13,Manabí,1562079,37295,201,-1.056181,-80.455217,01/01/2022
14,Morona Santiago,196535,7488,9,-2.3,-78.116667,01/01/2022
15,Napo,133705,4631,4,-0.989,-77.8159,01/01/2022
16,Orellana,161338,4224,3,-0.466667,-76.966667,01/01/2022
17,Pastaza,114202,3934,2,-1.066667,-78.001111,01/01/2022
18,Pichincha,3228233,203054,448,-0.218611,-78.509722,01/01/2022
19,Santa Elena,401178,4729,20,-2.2267,-80.8583,01/01/2022
20,Sto. Domingo Tsáchilas,511151,13256,30,-0.254167,-79.171944,01/01/2022
21,Sucumbíos,230503,6834,6,0.084722,-76.882778,01/01/2022
22,Tungurahua,590600,16842,60,-1.241667,-78.619722,01/01/2022
23,Zamora Chinchipe,120416,3280,2,-4.12,-78.8,01/01/2022
24,Azuay,881394,29995,10,-2.897414,-79.004481,02/01/2022
25,Bolívar,209933,7706,5,-1.605556,-79.003056,02/01/2022
26,Carchi,186869,10098,2,0.81218,-77.71633,02/01/2022
27,Cañar,281396,7131,23,-2.733333,-78.833333,02/01/2022
28,Chimborazo,524004,9783,28,-1.674347,-78.648294,02/01/2022
29,Cotopaxi,488716,12940,13,-0.933333,-78.616667,02/01/2022
30,El Oro,715751,26082,34,-3.266667,-79.966667,02/01/2022
31,Esmeraldas,591083,10395,3,1.05,-79.2,02/01/2022
32,Galápagos,33042,1557,3,-0.7999999999999999,-89.4,02/01/2022
33,Guayas,4387434,79412,109,-2.183333,-79.883333,02/01/2022
34,Imbabura,476257,18262,21,0.362678,-78.130667,02/01/2022
35,Loja,521154,19101,17,-3.983333,-79.2,02/01/2022
36,Los Ríos,921763,13870,11,-1.8,-79.533333,02/01/2022
37,Manabí,1562079,37371,76,-1.056181,-80.455217,02/01/2022
38,Morona Santiago,196535,7491,3,-2.3,-78.116667,02/01/2022
39,Napo,133705,4631,0,-0.989,-77.8159,02/01/2022
40,Orellana,161338,4231,7,-0.466667,-76.966667,02/01/2022
41,Pastaza,114202,3935,1,-1.066667,-78.001111,02/01/2022
42,Pichincha,3228233,203331,277,-0.218611,-78.509722,02/01/2022
43,Santa Elena,401178,4737,8,-2.2267,-80.8583,02/01/2022
44,Sto. Domingo Tsáchilas,511151,13286,30,-0.254167,-79.171944,02/01/2022
45,Sucumbíos,230503,6836,2,0.084722,-76.882778,02/01/2022
46,Tungurahua,590600,16861,19,-1.241667,-78.619722,02/01/2022
47,Zamora Chinchipe,120416,3282,2,-4.12,-78.8,02/01/2022
48,Azuay,881394,30009,14,-2.897414,-79.004481,03/01/2022
49,Bolívar,209933,7725,19,-1.605556,-79.003056,03/01/2022
50,Carchi,186869,10099,1,0.81218,-77.71633,03/01/2022
51,Cañar,281396,7175,44,-2.733333,-78.833333,03/01/2022
52,Chimborazo,524004,9791,8,-1.674347,-78.648294,03/01/2022
53,Cotopaxi,488716,12961,21,-0.933333,-78.616667,03/01/2022
54,El Oro,715751,26251,169,-3.266667,-79.966667,03/01/2022
55,Esmeraldas,591083,10396,1,1.05,-79.2,03/01/2022
56,Galápagos,33042,1559,2,-0.7999999999999999,-89.4,03/01/2022
57,Guayas,4387434,79507,95,-2.183333,-79.883333,03/01/2022
58,Imbabura,476257,18280,18,0.362678,-78.130667,03/01/2022
59,Loja,521154,19121,20,-3.983333,-79.2,03/01/2022
60,Los Ríos,921763,13893,23,-1.8,-79.533333,03/01/2022
61,Manabí,1562079,37444,73,-1.056181,-80.455217,03/01/2022
62,Morona Santiago,196535,7495,4,-2.3,-78.116667,03/01/2022
63,Napo,133705,4634,3,-0.989,-77.8159,03/01/2022
64,Orellana,161338,4236,5,-0.466667,-76.966667,03/01/2022
65,Pastaza,114202,3942,7,-1.066667,-78.001111,03/01/2022
66,Pichincha,3228233,203592,261,-0.218611,-78.509722,03/01/2022
67,Santa Elena,401178,4750,13,-2.2267,-80.8583,03/01/2022
68,Sto. Domingo Tsáchilas,511151,13294,8,-0.254167,-79.171944,03/01/2022
69,Sucumbíos,230503,6839,3,0.084722,-76.882778,03/01/2022
70,Tungurahua,590600,16924,63,-1.241667,-78.619722,03/01/2022
71,Zamora Chinchipe,120416,3284,2,-4.12,-78.8,03/01/2022
